Apache Argus;framework to enable, monitor and manage comprehensive data security across the Hadoop platform;Security;http://argus.incubator.apache.org/
Redis Sentinel;system designed to help managing Redis instances;Key-value Data Model;http://redis.io/topics/sentinel
Voltage SecureData;data protection framework;Security;http://www.voltage.com/products/securedata-enterprise/
Facebook Autoscale;the load balancer will concentrate workload to a server until it has at least a medium-level workload;System Deployment;https://code.facebook.com/posts/816473015039157/making-facebook-s-software-infrastructure-more-energy-efficient-with-autoscale/
Wolfram Alpha;computational knowledge engine;Machine Learning;http://www.wolframalpha.com/
Viv;global platform that enables developers to plug into and create an intelligent, conversational interface to anything;Machine Learning;http://viv.ai/
Twitter Zipkin;distributed tracing system that helps us gather timing data for all the disparate services at Twitter;Data Ingestion;https://github.com/twitter/zipkin
DistributedR;scalable high-performance platform for the R language;Distributed Programming;http://www.vertica.com/distributedr/
Torch;Scientific computing for LuaJIT;Distributed Programming;http://torch.ch/
HamsterDB;transactional key-value database;Embedded Databases;http://hamsterdb.com/
Aerospike;"NoSQL flash-optimized, in-memory. Open source and ""Server code in 'C' (not Java or Erlang) precisely tuned to avoid context switching and memory copies.";Key-value Data Model;http://www.aerospike.com/
Domino;Run, scale, share, and deploy models Ñ without any infrastructure.;Applications;http://www.dominoup.com/
Sense;Cloud Platform for Data Science and Big Data Analytics;Applications;https://senseplatform.com/
Crossfilter;avaScript library for exploring large multivariate datasets in the browser. Works well with dc.js and d3.js;Data Visualization;http://square.github.io/crossfilter/
DC.js;Dimensional charting built to work natively with crossfilter rendered using d3.js. Excellent for connecting charts/additional metadata to hover events in D3;Data Visualization;http://dc-js.github.io/dc.js/
TreodeDB;key-value store that's replicated and sharded and provides atomic multirow writes;Key-value Data Model;https://github.com/Treode/store
Adobe Spindle;Next-generation web analytics processing with Scala, Spark, and Parquet;Applications;https://github.com/adobe-research/spindle
Disco DDFS;distributed filesystem;Distributed Filesystem;http://disco.readthedocs.org/en/latest/howto/ddfs.html
Datapine;self-service business intelligence tool in the cloud;Business Intelligence;http://www.datapine.com/
Wit;Natural Language for the Internet of Things;Machine Learning;https://wit.ai/
