Pinterest Pinball;customizable platform for creating workflow managers;Scheduling;http://engineering.pinterest.com/post/74429563460/pinball-building-workflow-management
Microsoft DocumentDB;fully-managed, highly-scalable, NoSQL document database service;Document Data Model;http://azure.microsoft.com/en-us/services/documentdb/
Kyro;Java serialization and cloning: fast, efficient, automatic;Distributed Programming;https://github.com/EsotericSoftware/kryo
Netflix Lipstick;Pig Visualization framework;Distributed Programming;https://github.com/Netflix/Lipstick
Netflix Aegisthus;Bulk Data Pipeline out of Cassandra. implements a reader for the SSTable format and provides a map/reduce program to create a compacted snapshot of the data contained in a column family;Distributed Programming;https://github.com/Netflix/aegisthus
Netflix Inviso;performance focused Big Data tool;Benchmarking;https://hadoopsummit.uservoice.com/forums/242807-hadoop-deployment-operations-track/suggestions/5568461-inviso-maximizing-big-data-performance-at-netflix
Netflix Mantis;Event Stream Processing System;Distributed Programming;http://qconsf.com/presentation/mantis-netflixs-event-stream-processing-system
SigmoidAnalytics Spork;Pig on Apache Spark;Distributed Programming;https://github.com/sigmoidanalytics/spork
Metanautix Quest;data compute engine;SQL-like processing;https://metanautix.com/product/
ActivePivot;Java In-Memory OLAP cube stored in columns, with clearly decoupled pre/post processing;Business Intelligence;http://quartetfs.com/products/activepivot
Netflix Zeno;Netflix's In-Memory Data Propagation Framework;Distributed Programming;https://github.com/Netflix/zeno
Netflix Suro;data pipeline service for collecting, aggregating, and dispatching large volume of application events including log data;Data Ingestion;https://github.com/Netflix/suro
Netflix STAASH;language-agnostic as well as storage-agnostic web interface for storing data into persistent storage systems;Distributed Programming;https://github.com/Netflix/staash
Netflix PigPen;Map-Reduce for Clojure;Distributed Programming;https://github.com/Netflix/PigPen
Netflix S3mper;library that provides an additional layer of consistency checking on top of Amazon's S3 index through use of a consistent, secondary index;Distributed Filesystem;https://github.com/Netflix/s3mper
Netflix Priam;Co-Process for backup/recovery, Token Management, and Centralized Configuration management for Cassandra;Key-Map Data Model;https://github.com/Netflix/Priam
