2010;A Method of Automated Nonparametric Content Analysis for Social Science;http://dash.harvard.edu/bitstream/handle/1/5125261/method%20.pdf?sequence=1
2013;Sparrow: Distributed, Low Latency Scheduling;http://delivery.acm.org/10.1145/2530000/2522716/p69-ousterhout.pdf
2013;Sparrow: Scalable Scheduling for Sub-Second Parallel Jobs;http://www.eecs.berkeley.edu/Pubs/TechRpts/2013/EECS-2013-29.pdf
