2012;A Few Useful Things to Know about Machine Learning;http://homes.cs.washington.edu/~pedrod/papers/cacm12.pdf?imm_mid=0c2489&cmp=em-strata-na-na-newsltr_20140903_test_images;
2013;Dimension Independent Matrix Square using MapReduce;http://arxiv.org/pdf/1304.1467v2.pdf;
2013;Event labeling combining ensemble detectors and background knowledge;http://link.springer.com/content/pdf/10.1007%2Fs13748-013-0040-3.pdf;
2012;A Sublinear Time Algorithm for PageRank Computations;http://research.microsoft.com/en-us/um/people/borgs/Papers/SublinearPR.pdf;
2012;Multi-Scale Matrix Sampling and Sublinear-Time PageRank Computation;http://arxiv.org/pdf/1202.2771v5.pdf;
2013;Naiad: A Timely Dataflow System;http://research.microsoft.com/pubs/201100/naiad_sosp2013.pdf;
1997;Application-Controlled Demand Paging for Out-of-Core Visualization;http://www.nas.nasa.gov/assets/pdf/techreports/1997/nas-97-010.pdf;
2014;Guess Who Rated This Movie: Identifying Users Through Subspace Clustering;http://arxiv.org/pdf/1408.2055v1.pdf;
2014;Sequence to Sequence Learning with Neural Networks;http://arxiv.org/pdf/1409.3215v1.pdf;
2010;Distributed Optimization and Statistical Learning via the Alternating Direction Method of Multipliers;http://web.stanford.edu/~boyd/papers/pdf/admm_distr_stats.pdf;
2011;It's Time for Low Latency;http://www.scs.stanford.edu/~rumble/papers/latency_hotos11.pdf
